Reporting Date	Sale Month	Store	Artist	Title	ISRC	UPC	Quantity	Team Percentage	Song/Album	Country of Sale	Songwriter Royalties Withheld	Earnings (USD)
2025-06-25	2025-04	Spotify	Anfa Rose	GLOBE HOPPER	QZTBF2422595	198888756901	15	70	Song	RS	0	-0.00439376
2025-06-25	2025-04	Spotify	Anfa Rose	GLOBE HOPPER	QZTBF2422595	198888756901	4	70	Song	LU	0	-0.00404329
2025-06-25	2025-04	Spotify	Anfa Rose	GLOBE HOPPER	QZTBF2422595	198888756901	129	70	Song	CH	0	-0.16257552
2025-06-25	2025-04	Spotify	Anfa Rose	GLOBE HOPPER	QZTBF2422595	198888756901	30	70	Song	SG	0	-0.01820914
2025-06-25	2025-04	Spotify	Anfa Rose	GLOBE HOPPER	QZTBF2422595	198888756901	45	70	Song	BG	0	-0.01452010
2025-06-25	2025-04	Spotify	Anfa Rose	GLOBE HOPPER	QZTBF2422595	198888756901	38	70	Song	AE	0	-0.02326248
2025-06-25	2025-04	Spotify	Anfa Rose	GLOBE HOPPER	QZTBF2422595	198888756901	25	70	Song	AR	0	-0.00558042
2025-06-25	2025-04	Spotify	Anfa Rose	GLOBE HOPPER	QZTBF2422595	198888756901	25	70	Song	SA	0	-0.00510968
2025-06-25	2025-04	Spotify	Anfa Rose	GLOBE HOPPER	QZTBF2422595	198888756901	25	70	Song	CY	0	-0.00847509
2025-06-25	2025-04	Spotify	Anfa Rose	GLOBE HOPPER	QZTBF2422595	198888756901	128	70	Song	ZA	0	-0.02850934
2025-06-25	2025-04	Spotify	Anfa Rose	GLOBE HOPPER	QZTBF2422595	198888756901	4	70	Song	PE	0	-0.00095016
2025-06-25	2025-04	Spotify	Anfa Rose	GLOBE HOPPER	QZTBF2422595	198888756901	96	70	Song	SE	0	-0.08547679
2025-06-25	2025-04	Spotify	Anfa Rose	GLOBE HOPPER	QZTBF2422595	198888756901	15	70	Song	LT	0	-0.00834920
2025-06-25	2025-04	Spotify	Anfa Rose	GLOBE HOPPER	QZTBF2422595	198888756901	28	70	Song	ID	0	-0.00407544
2025-06-25	2025-04	Spotify	Anfa Rose	GLOBE HOPPER	QZTBF2422595	198888756901	7	70	Song	HR	0	-0.00279284
2025-06-25	2025-04	Spotify	Anfa Rose	GLOBE HOPPER	QZTBF2422595	198888756901	74	70	Song	AT	0	-0.05973525
2025-06-25	2025-04	Spotify	Anfa Rose	GLOBE HOPPER	QZTBF2422595	198888756901	48	70	Song	MY	0	-0.01044157
2025-06-25	2025-04	Spotify	Anfa Rose	GLOBE HOPPER	QZTBF2422595	198888756901	82	70	Song	MX	0	-0.01807475
2025-06-25	2025-04	Spotify	Anfa Rose	GLOBE HOPPER	QZTBF2422595	198888756901	207	70	Song	NL	0	-0.18215918
2025-06-25	2025-04	Spotify	Anfa Rose	GLOBE HOPPER	QZTBF2422595	198888756901	7	70	Song	BD	0	-0.00075332
2025-06-25	2025-04	Spotify	Anfa Rose	GLOBE HOPPER	QZTBF2422595	198888756901	18	70	Song	CO	0	-0.00348987
2025-06-25	2025-04	Spotify	Anfa Rose	GLOBE HOPPER	QZTBF2422595	198888756901	70	70	Song	CZ	0	-0.03406466
2025-06-25	2025-04	Spotify	Anfa Rose	GLOBE HOPPER	QZTBF2422595	198888756901	140	70	Song	TW	0	-0.04086706
2025-06-25	2025-04	Spotify	Anfa Rose	GLOBE HOPPER	QZTBF2422595	198888756901	143	70	Song	ES	0	-0.08220817
2025-06-25	2025-04	Spotify	Anfa Rose	GLOBE HOPPER	QZTBF2422595	198888756901	112	70	Song	RO	0	-0.03640175
2025-06-25	2025-04	Spotify	Anfa Rose	GLOBE HOPPER	QZTBF2422595	198888756901	97	70	Song	BE	0	-0.07817516
2025-06-25	2025-04	Spotify	Anfa Rose	GLOBE HOPPER	QZTBF2422595	198888756901	514	70	Song	AU	0	-0.33947602
2025-06-25	2025-04	Spotify	Anfa Rose	GLOBE HOPPER	QZTBF2422595	198888756901	7	70	Song	AL	0	-0.00098398
2025-06-25	2025-04	Spotify	Anfa Rose	GLOBE HOPPER	QZTBF2422595	198888756901	59	70	Song	JP	0	-0.03819365
2025-06-25	2025-04	Spotify	Anfa Rose	GLOBE HOPPER	QZTBF2422595	198888756901	41	70	Song	SK	0	-0.01892454
2025-06-25	2025-04	Spotify	Anfa Rose	GLOBE HOPPER	QZTBF2422595	198888756901	27	70	Song	FI	0	-0.02777967
2025-06-25	2025-04	Spotify	Anfa Rose	GLOBE HOPPER	QZTBF2422595	198888756901	1339	70	Song	DE	0	-1.06948725
2025-06-25	2025-04	Spotify	Anfa Rose	GLOBE HOPPER	QZTBF2422595	198888756901	25	70	Song	TH	0	-0.00606779
2025-06-25	2025-04	Spotify	Anfa Rose	GLOBE HOPPER	QZTBF2422595	198888756901	15	70	Song	LV	0	-0.00856528
2025-06-25	2025-04	Spotify	Anfa Rose	GLOBE HOPPER	QZTBF2422595	198888756901	29	70	Song	PK	0	-0.00392562
2025-06-25	2025-04	Spotify	Anfa Rose	GLOBE HOPPER	QZTBF2422595	198888756901	12	70	Song	CL	0	-0.00291350
2025-06-25	2025-04	Spotify	Anfa Rose	GLOBE HOPPER	QZTBF2422595	198888756901	5	70	Song	MT	0	-0.00199230
2025-06-25	2025-04	Spotify	Anfa Rose	GLOBE HOPPER	QZTBF2422595	198888756901	29	70	Song	IL	0	-0.01933401
2025-06-25	2025-04	Spotify	Anfa Rose	GLOBE HOPPER	QZTBF2422595	198888756901	48	70	Song	VN	0	-0.00855521
2025-06-25	2025-04	Spotify	Anfa Rose	GLOBE HOPPER	QZTBF2422595	198888756901	80	70	Song	JP	0	0.17391557
2025-06-25	2025-04	Spotify	Anfa Rose	GLOBE HOPPER	QZTBF2422595	198888756901	326	70	Song	BR	0	0.35567250
2025-06-25	2025-04	Spotify	Anfa Rose	GLOBE HOPPER	QZTBF2422595	198888756901	32	70	Song	SG	0	0.08363098
2025-06-25	2025-04	Spotify	Anfa Rose	GLOBE HOPPER	QZTBF2422595	198888756901	237	70	Song	IT	0	0.50344967
2025-06-25	2025-04	Spotify	Anfa Rose	GLOBE HOPPER	QZTBF2422595	198888756901	589	70	Song	FR	0	1.68366389
2025-06-25	2025-04	Spotify	Anfa Rose	GLOBE HOPPER	QZTBF2422595	198888756901	287	70	Song	NL	0	0.92729560
2025-06-25	2025-04	Spotify	Anfa Rose	GLOBE HOPPER	QZTBF2422595	198888756901	10	70	Song	MK	0	0.01603655
2025-06-25	2025-04	Spotify	Anfa Rose	GLOBE HOPPER	QZTBF2422595	198888756901	128	70	Song	HU	0	0.21565386
2025-06-25	2025-04	Spotify	Anfa Rose	GLOBE HOPPER	QZTBF2422595	198888756901	2	70	Song	BA	0	0.00200155
2025-06-25	2025-04	Spotify	Anfa Rose	GLOBE HOPPER	QZTBF2422595	198888756901	36	70	Song	TH	0	0.03078403
2025-06-25	2025-04	Spotify	Anfa Rose	GLOBE HOPPER	QZTBF2422595	198888756901	5	70	Song	PE	0	0.00402964
2025-06-25	2025-04	Spotify	Anfa Rose	GLOBE HOPPER	QZTBF2422595	198888756901	48	70	Song	SA	0	0.05608771
2025-06-25	2025-04	Spotify	Anfa Rose	GLOBE HOPPER	QZTBF2422595	198888756901	236	70	Song	PL	0	0.31801532
2025-06-25	2025-04	Spotify	Anfa Rose	GLOBE HOPPER	QZTBF2422595	198888756901	10	70	Song	XK	0	0.00600868
2025-06-25	2025-04	Spotify	Anfa Rose	GLOBE HOPPER	QZTBF2422595	198888756901	5	70	Song	IS	0	0.02052456
2025-06-25	2025-04	Spotify	Anfa Rose	GLOBE HOPPER	QZTBF2422595	198888756901	177	70	Song	NO	0	0.64537337
2025-06-25	2025-04	Spotify	Anfa Rose	GLOBE HOPPER	QZTBF2422595	198888756901	17	70	Song	LT	0	0.03908858
2025-06-25	2025-04	Spotify	Anfa Rose	GLOBE HOPPER	QZTBF2422595	198888756901	74	70	Song	AE	0	0.15764984
2025-06-25	2025-04	Spotify	Anfa Rose	GLOBE HOPPER	QZTBF2422595	198888756901	164	70	Song	TW	0	0.17415682
